absl-py==2.1.0; python_version >= '3.7'
altair==5.3.0; python_version >= '3.8'
annotated-types==0.7.0; python_version >= '3.8'
attrs==23.2.0; python_version >= '3.7'
black==24.4.2; python_version >= '3.8'
blinker==1.8.2; python_version >= '3.8'
blis==0.7.11
cachetools==5.4.0; python_version >= '3.7'
catalogue==2.0.10; python_version >= '3.6'
certifi==2024.7.4; python_version >= '3.6'
cffi==1.16.0; platform_python_implementation != 'PyPy'
charset-normalizer==3.3.2; python_full_version >= '3.7.0'
click==8.1.7; python_version >= '3.7'
cloudpathlib==0.18.1; python_version >= '3.7'
colorama==0.4.6; python_version >= '3.5'
confection==0.1.5; python_version >= '3.6'
contourpy==1.2.1; python_version >= '3.9'
cryptography==43.0.0; python_version >= '3.7'
cycler==0.12.1; python_version >= '3.8'
cymem==2.0.8
docx2txt==0.8
fonttools==4.53.1; python_version >= '3.8'
gitdb==4.0.11; python_version >= '3.7'
gitpython==3.1.43; python_version >= '3.7'
idna==3.7; python_version >= '3.5'
jinja2==3.1.4; python_version >= '3.7'
joblib==1.4.2; python_version >= '3.8'
jsonschema==4.23.0; python_version >= '3.8'
jsonschema-specifications==2023.12.1; python_version >= '3.8'
kiwisolver==1.4.5; python_version >= '3.7'
langcodes==3.4.0; python_version >= '3.8'
language-data==1.2.0
mando==0.7.1
marisa-trie==1.2.0; python_version >= '3.7'
markdown-it-py==3.0.0; python_version >= '3.8'
markupsafe==2.1.5; python_version >= '3.7'
matplotlib==3.9.1; python_version >= '3.9'
mdurl==0.1.2; python_version >= '3.7'
murmurhash==1.0.10; python_version >= '3.6'
mypy-extensions==1.0.0; python_version >= '3.5'
neattext==0.1.3; python_version >= '3.3' and python_version < '4.0'
nltk==3.8.1; python_version >= '3.7'
numpy==1.26.4; python_version >= '3.9'
packaging==24.1; python_version >= '3.8'
pandas==2.2.2; python_version >= '3.9'
pathspec==0.12.1; python_version >= '3.8'
pdfminer.six==20231228; python_version >= '3.6'
pdfplumber==0.11.2; python_version >= '3.8'
pillow==10.4.0; python_version >= '3.8'
platformdirs==4.2.2; python_version >= '3.8'
plotly==5.22.0; python_version >= '3.8'
preshed==3.0.9; python_version >= '3.6'
protobuf==5.27.2; python_version >= '3.8'
pyarrow==17.0.0; python_version >= '3.8'
pycparser==2.22; python_version >= '3.8'
pydantic==2.8.2; python_version >= '3.8'
pydantic-core==2.20.1; python_version >= '3.8'
pydeck==0.9.1; python_version >= '3.8'
pygments==2.18.0; python_version >= '3.8'
pyparsing==3.1.2; python_full_version >= '3.6.8'
pypdf2==3.0.1; python_version >= '3.6'
pypdfium2==4.30.0; python_version >= '3.6'
python-dateutil==2.9.0.post0; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3'
pytz==2024.1
radon==6.0.1
referencing==0.35.1; python_version >= '3.8'
regex==2024.5.15; python_version >= '3.8'
requests==2.32.3; python_version >= '3.8'
rich==13.7.1; python_full_version >= '3.7.0'
rouge-score==0.1.2; python_version >= '3.7'
rpds-py==0.19.0; python_version >= '3.8'
seaborn==0.13.2; python_version >= '3.8'
setuptools==71.0.4; python_version >= '3.8'
shellingham==1.5.4; python_version >= '3.7'
six==1.16.0; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3'
smart-open==7.0.4; python_version >= '3.7' and python_version < '4.0'
smmap==5.0.1; python_version >= '3.7'
spacy==3.7.5; python_version >= '3.7'
spacy-legacy==3.0.12; python_version >= '3.6'
spacy-loggers==1.0.5; python_version >= '3.6'
srsly==2.4.8; python_version >= '3.6'
streamlit==1.36.0; python_version >= '3.8' and python_full_version != '3.9.7'
tenacity==8.5.0; python_version >= '3.8'
textblob==0.18.0.post0; python_version >= '3.8'
thinc==8.2.5; python_version >= '3.6'
toml==0.10.2; python_version >= '2.6' and python_version not in '3.0, 3.1, 3.2, 3.3'
tomli==2.0.1; python_version < '3.11'
toolz==0.12.1; python_version >= '3.7'
tornado==6.4.1; python_version >= '3.8'
tqdm==4.66.4; python_version >= '3.7'
typer==0.12.3; python_version >= '3.7'
typing-extensions==4.12.2; python_version < '3.11'
tzdata==2024.1; python_version >= '2'
urllib3==2.2.2; python_version >= '3.8'
vulture==2.11; python_version >= '3.8'
wasabi==1.1.3; python_version >= '3.6'
watchdog==4.0.1; platform_system != 'Darwin'
weasel==0.4.1; python_version >= '3.7'
wordcloud==1.9.3; python_version >= '3.7'
wrapt==1.16.0; python_version >= '3.6'
